review_id,review_text,sentiment_label,sentiment_score,identified_theme
0,It's not allowing me to transfer money.,NEGATIVE,0.9968652129173279,Transaction Performance
1,IT'S NOT WORK ON HUAWEI DEVICES,NEGATIVE,0.9996907711029053,General User Feedback
2,wow,POSITIVE,0.999592125415802,General User Feedback
3,nice app,POSITIVE,0.9998061060905457,General User Feedback
4,formative,POSITIVE,0.9988852143287659,General User Feedback
5,best app for financial activities 🙌,POSITIVE,0.996807873249054,General User Feedback
6,yoroo namaste 🙏 ♥️ ❤️ 💖 💖,NEGATIVE,0.8904683589935303,General User Feedback
7,incredible,POSITIVE,0.9998753070831299,General User Feedback
8,best app for financial sector,POSITIVE,0.9991656541824341,General User Feedback
9,it's a good application,POSITIVE,0.9998661279678345,General User Feedback
10,thank you cbe,POSITIVE,0.9997555613517761,General User Feedback
11,is good,POSITIVE,0.9998394250869751,General User Feedback
12,Good application,POSITIVE,0.999854564666748,General User Feedback
13,"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",NEGATIVE,0.9879258871078491,Transaction Performance
14,Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,NEGATIVE,0.9997770190238953,UI & Design Feedback
15,very nice 100%,POSITIVE,0.9998635053634644,General User Feedback
16,good,POSITIVE,0.9998161196708679,General User Feedback
17,Good to use,POSITIVE,0.9998455047607422,General User Feedback
18,cbe,POSITIVE,0.9966009855270386,General User Feedback
19,Cbe,POSITIVE,0.9966009855270386,General User Feedback
20,best and secured,POSITIVE,0.9998188614845276,General User Feedback
21,best,POSITIVE,0.9997941851615906,General User Feedback
22,ok,POSITIVE,0.9997851252555847,General User Feedback
23,why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,NEGATIVE,0.9988546371459961,Transaction Performance
24,Gal✅😶‍🌫️,NEGATIVE,0.697056770324707,General User Feedback
25,posetive,POSITIVE,0.9818593859672546,General User Feedback
26,እ. በ. ጥ. ነው,NEGATIVE,0.9486008286476135,General User Feedback
27,It is usefull app,POSITIVE,0.9959065914154053,General User Feedback
28,this app is so functional for airtime for wallet and,NEGATIVE,0.9154266119003296,General User Feedback
29,very amazing app,POSITIVE,0.9998725652694702,General User Feedback
30,excellent service,POSITIVE,0.9998576641082764,General User Feedback
31,There is a a problem when updating the app,NEGATIVE,0.9989816546440125,General User Feedback
32,smart app,POSITIVE,0.999789297580719,General User Feedback
33,"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",NEGATIVE,0.9887336492538452,General User Feedback
34,CBE it's my excellent choice,POSITIVE,0.9997592568397522,General User Feedback
35,fast and time saving...,POSITIVE,0.9994866847991943,General User Feedback
36,yesisgood,POSITIVE,0.9984375834465027,General User Feedback
37,so good,POSITIVE,0.999841570854187,General User Feedback
38,"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",NEGATIVE,0.9996129870414734,Transaction Performance
39,iam happy excellent app,POSITIVE,0.9998611211776733,General User Feedback
40,is not work properly !!,NEGATIVE,0.9997790455818176,General User Feedback
41,አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,NEGATIVE,0.9046952128410339,General User Feedback
42,When I update this app there isn't working,NEGATIVE,0.9995754361152649,UI & Design Feedback
43,thanks you so much 👍 okay I am going to be like in,POSITIVE,0.9997941851615906,General User Feedback
44,Best ever,POSITIVE,0.999841570854187,General User Feedback
45,features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,NEGATIVE,0.9980064034461975,Feature Requests
46,goood g,NEGATIVE,0.9891290664672852,General User Feedback
47,I like so much,POSITIVE,0.9998633861541748,General User Feedback
48,This app has never been efficient at all,NEGATIVE,0.9997796416282654,General User Feedback
49,nice app.,POSITIVE,0.9998321533203125,General User Feedback
50,"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",NEGATIVE,0.9998015761375427,Feature Requests
51,Wonderful App ❤️❤️❤️ I love it,POSITIVE,0.9998841285705566,General User Feedback
52,i like it,POSITIVE,0.9998593330383301,General User Feedback
53,vary good app,POSITIVE,0.9998146891593933,General User Feedback
54,nice,POSITIVE,0.9998552799224854,General User Feedback
55,easy to use but hard to find easily,NEGATIVE,0.9885600209236145,General User Feedback
56,fixed problem,NEGATIVE,0.9913551211357117,General User Feedback
57,በእውነት የሚገርም app ነው ነገሮችን ሁሉ ቀለል ያደርጋል,NEGATIVE,0.9388996958732605,General User Feedback
58,best app,POSITIVE,0.999686598777771,General User Feedback
59,Good Application,POSITIVE,0.999854564666748,General User Feedback
60,Good app,POSITIVE,0.9998493194580078,General User Feedback
61,መስተካከል አለብት ብዩ አስታየት የም ሰጠው አካውንንት በስም ሲፈለግ mr ብሎ ቀጣይ ስም ለመፃፍ እስፔስም አይፈቅድ ቀጣዩ ፊደልም ሲፃፍ አይፅፍም ይሄ ቢስተካከል ይበልጥ ቀላል የረገዋል ብዩ አስበለው,NEGATIVE,0.9670157432556152,General User Feedback
62,why it alaways asked me to update every second when I log in.,NEGATIVE,0.9971964359283447,UI & Design Feedback
63,pls update my cbe mobile banking,NEGATIVE,0.972312867641449,UI & Design Feedback
64,"Easy, secure and user friend",POSITIVE,0.9988741278648376,General User Feedback
65,hiote tegayede,POSITIVE,0.8946161270141602,General User Feedback
66,misraqe,NEGATIVE,0.9931067824363708,General User Feedback
67,excellent app,POSITIVE,0.9998356103897095,General User Feedback
68,usefull app,POSITIVE,0.9953721165657043,General User Feedback
69,nice bank,POSITIVE,0.9998055100440979,General User Feedback
